,UNKNOWN,FES,ABL2,BMX,TEC,IGF1R,TYK2,ZAK,STK39,STK24,MST4,MAP4K4,TNIK,SLK,STK10,PAK4,PKMYT1,CSNK1G1,CSNK1G3,VRK1,GSG2,PLK4,TLK1,ADRBK1,ADRBK2,GRK5,PDPK1,RPS6KA1,RPS6KA6,AKT3,STK38L,CDC42BPB,STK32A,CHEK2,DCLK1,PHKG2,CAMK2A,STK33,SNF1LK2,PRKAA1,PRKAA2,STK17A,STK17B,PIM2,PIM3,PIM1,NEK1,NEK2,CAMKK2,STK16,GAK,AAK1,CDK9,CDK2,PCTK2,MAPK8,MAPK13,MAPK3,MAPK7,CDKL1,SRPK1,SRPK2,CLK3,CLK4,DYRK1A,DYRK2,CDC7,TTK,GUCY2D
GW616030X,3.521914144,0.61,0.69,2.78,0.14,-0.35,-1.97,-0.06,0.73,0.07,2.8,-2.8,-4.4,-1.51,-2.41,1.49,-0.71,-2.23,-1.2,-2.48,-2.47,3.61,-1.04,-1.06,-0.8,3.29,-0.03,-5.55,-3.7,-2.71,-0.57,0.95,-1.2,1.29,-5.67,-0.74,1.21,-1.44,0.13,-3.09,-0.89,0.1,-0.57,1.25,-1.45,0.46,-2.33,3.71,0.96,-1.76,-1.97,0.45,0.32,-0.48,1.45,1.41,-0.8,-1.18,-1.58,0.73,-8.31,-2.37,-1.68,-0.88,2.57,-3.47,-0.02,-1.89,-2.75
GW618013X,3.937868451,-0.04,1,-0.13,-0.36,-0.06,1.24,0.51,-0.07,-0.21,-0.32,0.09,-0.35,,0.6,0.04,0.16,4.15,-0.09,-0.14,0.03,2.56,-0.08,0.32,-0.16,-0.01,1.49,2.05,2.65,-0.11,0.31,-0.66,-0.02,0.44,0.38,0.43,-0.1,0.23,1.5,0.04,0.41,1.65,-0.55,-0.42,0.14,-0.04,-0.08,0.76,-0.12,1.06,2.31,2.51,0.24,0.25,0,1.35,0.21,0.28,0.18,-0.1,-0.03,0.01,-0.18,0.15,1.09,2.55,1.24,2.95,-0.13
GW621431X,4.732877603,0.25,3.95,1.27,-0.4,-0.12,0.42,-0.55,-0.36,-0.36,0.14,-1.2,0.37,0.06,0.83,1.88,,0.14,-0.2,0.42,0.54,5.03,-0.27,-0.04,-0.31,1.06,-0.41,0.11,0.15,-0.33,-0.48,-0.34,-0.17,0.48,-1.33,0,1.7,1.34,4.96,0.6,1.22,-0.12,0.28,0.46,0.58,0.76,-0.13,0.26,1.06,3.79,1.44,0.3,1.92,-0.02,0.03,1.34,-0.15,0.05,-0.36,0.09,0.34,0.66,1.42,6.73,2.31,-3.03,1.18,0.49,-0.31
GW621823A,5.298403656,-0.38,0.48,1.41,0.52,-0.49,-2.33,-0.08,0.6,2,2.02,-0.8,-0.95,,-1.33,0.76,-1.2,-0.38,-0.44,-1.16,0.83,1.39,-0.26,0.13,-0.88,1.94,0.29,-0.71,-0.31,-1.35,-1.03,-0.32,-0.2,0.93,-0.67,0.78,0.1,0.33,0.27,-0.91,0.03,0.05,1.83,0.62,0.45,1.2,-0.53,2.58,0.5,-0.76,-0.43,0.07,-0.66,-0.1,1.03,1.33,-0.23,-0.75,-0.62,-0.78,-1.74,0.03,-1.15,0.8,-0.7,0.44,0.45,-0.07,-0.87
GW621970X,4.506193283,0.66,5.54,2.06,-0.13,0.04,0.09,-0.26,0.47,0.43,-0.16,-1.74,0.59,1.71,2.87,3.55,0.07,0.48,-0.13,0.04,-0.16,7.9,-0.16,-0.49,-0.35,0.26,0.05,0.19,0.19,-0.25,-0.21,0,0.01,0.58,-2,1,2.19,2.38,1.56,1.46,2.63,1.52,0.88,0.99,0.35,1.03,0.05,0.33,1.82,6.3,2.77,0.66,2.13,0.76,1.39,2.56,-0.1,0.09,-0.38,-0.07,0.87,0.96,2.33,5.98,0.97,-1.38,0.93,0.84,0.27
GW622055X,-0.260477895,0.34,3.11,0.27,-0.17,0.01,0.07,0.36,0.07,0.3,0.57,0.19,2.52,1.19,1.55,3.73,-0.09,1.26,0.18,-0.11,0.44,1.54,0.64,-0.13,0.06,2.14,0.63,-0.31,0.49,0.2,0.2,-0.02,-0.17,0.37,0.16,-0.39,1.7,1.66,0.35,1.3,1.44,0.49,0.76,1.07,0.78,0.94,0.07,0.69,1.08,6.93,1.73,0.35,1.26,0.7,0.42,0.08,0.07,-0.08,0.04,-0.49,0.41,0.77,2.19,5.91,-0.39,0.31,-0.51,0.43,0.7
GW627512B,3.593429158,0.7,4.19,1.57,0.31,0.04,-0.11,0.2,1.04,2.08,1.31,0.7,1.44,3.24,2.77,7.01,0.23,-0.14,0.14,-0.17,-0.03,0.38,0.58,-0.46,-0.19,1.73,2.78,-0.09,-0.34,-0.04,2.69,0.85,0.19,1.61,0.28,0,3.36,2.31,0.87,5.24,8.6,0.83,8.74,0.04,0.18,0.28,0.47,1.86,5.73,8.78,3.54,0.1,3.2,3.11,2.14,0.25,0.29,0.05,-0.25,2.57,0.41,0.72,0.74,3.01,0.19,-2.37,0.66,0.93,0.17
GW627834A,0.860784567,0.17,2.92,0.45,-0.24,-0.51,1.22,0.27,0.66,,2.19,-0.25,-0.15,,2.1,1.24,0.2,1.07,0.47,-0.55,1.25,1.44,0.49,-0.08,-0.78,1.48,-0.18,-0.45,0.16,-1.29,0.59,-0.49,-0.76,0.22,0.45,0.61,0.85,1.62,2.45,1.73,3.66,4.85,6.23,3.11,2.8,1.29,-0.06,2.67,2.29,5.81,1.8,0.07,2.84,6.17,2.76,0.5,0.11,-1.24,-0.2,1.7,1.02,0.37,0.26,3.21,1.51,1.7,1.21,2.28,-1.43
GW631581B,4.045169959,0,2.52,1.07,-0.82,-0.07,1.07,0,1.84,0.39,0.51,0.67,1.43,1.94,0.32,3.36,0.96,0.93,-0.19,0.22,-0.06,3.69,0.59,0.26,0.21,0.22,0.47,-0.55,-0.06,-0.33,0.54,0.07,-0.2,,-2.76,0.53,2.43,2.88,4.6,2.79,5.26,4.24,6.41,0.38,1.15,0.05,-0.33,0.66,3.9,6.47,2.66,4.96,2.33,2.81,1.4,1.29,-0.08,-0.09,-0.15,0.62,0.16,0,-0.25,2.59,0.49,1.93,-0.32,0.31,-0.51
GW632046X,3.581714808,0.42,2.73,0.43,-0.58,0.34,0.54,0.25,0.03,-0.28,0.7,-1.91,1.45,0.62,0.66,1.75,-0.96,1.3,0.03,0.67,0.04,3.28,-0.16,0.34,0,1.23,0.43,-0.1,-0.35,-0.05,0.61,-0.19,-0.32,1.16,-1.89,0.34,1.58,1.75,2.68,1.59,3.35,4.97,5.83,0.01,-0.14,0.18,0.2,0.37,3.4,4.04,1.3,2.98,2.48,2.59,0.6,1.14,0.08,0.3,-0.22,0.25,0.58,0.07,-0.09,1.82,0.47,-3.29,0.33,0.65,-0.1
GW632580X,1.727894204,-0.26,0.1,-0.25,-0.25,0.09,-0.04,0.02,0.03,-0.51,-0.29,-0.06,0.12,0.49,-0.06,-0.01,-0.12,0.3,0.23,-0.21,-0.38,-0.05,0.38,-0.12,0.03,-0.48,0.17,-0.31,0.04,-0.12,0.1,0.11,-0.14,0.17,-0.03,-0.78,0.21,-0.5,0.08,-0.3,-0.2,-0.25,-0.3,-0.11,0.32,-0.08,-0.02,0.2,0.27,-0.14,0.24,0.05,0.04,-0.44,0.31,-0.49,-0.13,-0.01,0.19,-0.29,-0.19,0.09,0.19,-0.44,-0.86,-0.29,-1.36,-0.05,0.38
GW633459A,5.345834415,-0.53,0.14,0.85,0.83,-0.05,0.53,-0.32,1.23,1.39,1.16,-1.79,-0.53,0.43,1.06,0.96,0.13,-0.32,-0.34,-1.81,0.14,1.49,-0.34,-0.59,-0.04,3.27,0.6,-0.24,-0.15,0.54,-0.34,0.31,-0.29,1.23,-1.17,0.25,0.35,-0.34,-0.03,-0.7,-0.38,0.77,1.35,0.46,-0.68,0.33,0.22,1.13,0.26,-0.92,0.8,0.22,-0.29,0.23,0.72,0.79,-0.28,0.29,-0.61,0.48,-0.81,-0.06,-0.01,1.08,0.27,-3.74,1.09,-0.22,-0.04
GW641155A,-0.953169504,0.37,-0.15,0.49,-0.08,0.05,-0.06,0.3,0.21,0.95,1.02,0.15,0.38,,0.27,0.21,-0.27,0.28,-0.01,-0.05,0.38,-0.24,0.36,0.24,-0.41,0.48,-0.33,-0.15,0.33,-0.09,-0.14,0.08,-0.06,0.12,0.36,0.05,0.48,0.26,0.38,0.62,1.69,2.59,4.41,0.54,0.58,1.21,0.16,0.35,0.74,1.92,-0.07,0.41,1.16,1.38,0.35,0.44,0.22,-0.28,0.29,0.61,0.82,0.17,-0.32,0.52,-0.72,-0.11,0.17,0.61,-0.56
GW641155B,1.15978789,0.37,-0.15,0.49,-0.08,0.05,-0.06,0.3,0.21,0.95,1.02,0.15,0.38,,0.27,0.21,-0.27,0.28,-0.01,-0.05,0.38,-0.24,0.36,0.24,-0.41,0.48,-0.33,-0.15,0.33,-0.09,-0.14,0.08,-0.06,0.12,0.36,0.05,0.48,0.26,0.38,0.62,1.69,2.59,4.41,0.54,0.58,1.21,0.16,0.35,0.74,1.92,-0.07,0.41,1.16,1.38,0.35,0.44,0.22,-0.28,0.29,0.61,0.82,0.17,-0.32,0.52,-0.72,-0.11,0.17,0.61,-0.56
GW642125X,-2.203999496,-0.09,0.06,0.03,-0.62,-0.26,0.33,-0.86,-0.77,-0.32,-0.36,-0.54,0.08,3.25,0.17,-0.1,-0.47,1.6,0.2,0.24,0.23,-0.46,0.24,0,-0.21,-0.1,-0.23,1.49,1.93,-0.5,-0.43,-0.1,0.57,0.1,-0.26,-0.67,-0.21,-0.08,1.8,-0.06,0.4,-0.81,-0.17,0.05,0.39,-0.34,-0.28,1.59,-0.38,1.07,0.41,0.11,-0.06,0.17,0.35,-0.58,-0.31,0.11,-0.25,-0.35,-0.52,-0.41,-0.08,4.34,0.56,0.3,-0.97,-0.28,-0.05
GW642138X,2.609954008,-0.28,1.13,0.85,0.08,-0.16,6.33,0.29,0.87,,1.54,-2.5,-0.88,-0.12,1.95,0.27,-0.41,0.33,-0.18,0.25,0.95,2.25,0.53,0.15,-0.58,0.8,-0.14,1.31,0.87,-0.27,-0.61,-1.12,-0.45,1.72,0.37,0.03,0.04,0.85,-1.88,0.51,1.66,2.36,4.09,1.89,2.84,2.4,1.4,1.54,0.9,1.68,1.65,2.67,0.18,0.49,0.09,1.04,-0.25,-0.39,-1.1,0.03,0.4,0.21,2.05,4.89,2.57,4.72,0.46,0.83,-1.35
GW643971X,6.796714579,0.06,2.34,0.85,-0.56,-0.2,2.78,0.39,-0.9,0.3,0.52,0.28,0.33,1.87,-0.21,0.29,0.51,0.26,-0.47,0.08,0.15,0.22,0.7,0.34,-0.1,-0.27,-0.29,0.26,0.37,-0.53,0.42,0.31,-0.25,,-0.59,-0.23,0.27,-0.34,0.31,0.73,1.38,0.36,0.64,1.23,1.13,0.77,-0.11,1.01,-0.18,1.25,-0.03,0.18,0.22,-0.37,0.16,0.41,-0.79,-0.03,0.2,-0.11,0.2,0.16,0.61,2.78,-0.12,1.25,-0.79,0.31,-0.34
GW643971X,7.65781281,0.06,2.34,0.85,-0.56,-0.2,2.78,0.39,-0.9,0.3,0.52,0.28,0.33,1.87,-0.21,0.29,0.51,0.26,-0.47,0.08,0.15,0.22,0.7,0.34,-0.1,-0.27,-0.29,0.26,0.37,-0.53,0.42,0.31,-0.25,,-0.59,-0.23,0.27,-0.34,0.31,0.73,1.38,0.36,0.64,1.23,1.13,0.77,-0.11,1.01,-0.18,1.25,-0.03,0.18,0.22,-0.37,0.16,0.41,-0.79,-0.03,0.2,-0.11,0.2,0.16,0.61,2.78,-0.12,1.25,-0.79,0.31,-0.34
GW644007X,5.108962045,0.43,3.54,1.2,-0.45,-0.05,7.05,1.61,-0.72,0.7,3.08,-0.92,1.03,5.17,4.42,0.92,-0.26,1.91,-0.08,1.55,0.76,3.92,0.14,0.13,0.01,1.49,0.14,0.76,0.25,-0.52,0.05,-0.83,-0.18,0.46,-0.52,0.51,0.7,1.43,1.74,-0.46,1.54,2.13,1.93,1.95,3.05,1.17,0.4,1.14,3.12,3.56,1.42,2.53,3.73,3.7,2.23,0.91,0.66,0.08,0,0.83,0.91,0.32,3.94,4.6,2.21,3.93,-0.12,0.56,-0.04
GW651576X,2.131548691,-0.25,0.3,0.23,0.37,-0.2,-0.13,-0.25,-0.23,0.97,0.33,-1.71,-0.32,0.01,1.59,-0.17,-0.11,-0.05,-0.18,-0.28,-0.02,0.17,0.38,0.29,0.03,0.62,-0.24,0.05,0.09,-0.35,0.05,0.23,-0.11,0.47,0.14,-0.15,-0.23,0.34,-1.1,-0.63,0.3,0.35,0.42,0.47,0.58,0.19,0.2,0.39,-0.21,0.52,-0.27,0.82,0.05,-0.07,-0.03,-0.01,-0.26,0.14,0.11,-0.21,0.02,-0.26,-0.08,0.51,0.72,-0.07,-0.28,-0.05,-0.22
GW654652X,7.423907512,1.55,4.8,1.22,-0.42,0.07,0.42,-0.7,-0.85,-0.35,0.01,0.29,3.14,1.63,7.97,0.79,,0.63,-0.48,0.89,0.55,10.16,0.64,0.21,0.14,1.9,-0.24,1.06,1.02,-0.52,-0.12,-1.26,1.46,,0.18,-0.53,0.23,5.94,2.58,0.4,1.55,-1.41,-0.03,1.51,0.14,-0.11,-0.79,0.97,1.09,2.61,1.85,-0.07,0.04,-0.4,1,0.93,-0.52,0.4,-0.17,-0.45,-0.04,-0.17,0.92,0.07,0.69,0.48,-0.86,1.09,-0.21
GW659893X,5.585037074,0.69,0.47,0.88,1.45,-0.01,0.93,-0.47,1.43,0.99,2.2,3.46,1.14,2.15,3.87,1.29,0.83,-0.16,-0.42,0.48,0.24,1.86,0.97,-0.08,0.01,1.72,0.59,0.39,0.51,0.21,0.42,0.74,0.21,0.66,-0.49,0.83,0.95,0.96,0.69,0.26,0.09,1.71,3.33,2.79,1.8,2.03,0.17,0.9,1.77,0.51,1.27,1.22,1.19,0.93,0.56,1.46,0.12,0.01,-0.47,0.75,1.19,0.72,0.65,1.71,1.5,-1.61,1.34,0.66,1.07
GW673715X,5.60839902,1.25,3.94,0.97,-0.24,0.07,0.74,1.17,0.01,0.43,2.84,0.16,1.04,,13.33,1.23,1.88,0.34,-0.5,0.12,0.24,2,1.65,0.1,-0.08,-0.52,1.6,0.49,0.19,0.6,0.69,-0.56,0.05,1.27,1.58,1.08,0.83,5.45,1.02,0.53,1.68,,3.78,2.78,1.42,2.72,0.18,1.21,0.89,0.96,2.08,2.98,0.83,0.26,0.88,0.39,0.56,0.26,0.3,2.23,3.8,0.72,0.19,1.71,1.09,0.95,1.58,3.72,0.23
GW678313X,5.151482255,0.3,3,1.26,-0.33,0.03,1.71,0.56,0.53,0.81,0.33,0.57,1.12,,1.6,2.33,0.75,1.9,-0.15,-0.28,-0.12,7.54,-0.11,0.01,-0.25,0.59,-0.03,1.14,1.2,0.59,-0.5,-0.68,-0.12,0.25,0.57,0.41,3.45,0.55,3.14,0.85,1.83,0.17,0.26,1.14,1.85,2.46,0.1,0.17,2.09,6.05,2.09,1.22,0.57,0.41,0.19,2.97,0.53,-0.04,0.09,-0.31,0.64,0.81,2.15,6.14,3.72,5.4,0.84,0.8,-0.04
GW679410X#4,0.18802709,-0.14,1.21,-0.2,-0.57,0.03,0.53,1.69,0.02,-1.26,-0.35,-1.81,2.89,-0.15,0.02,-0.25,-0.52,1.05,0.15,1.59,0.29,0.84,-0.2,0.01,-0.13,-0.41,-0.1,1.38,2.01,-0.26,-0.3,-0.87,-0.25,0.09,0.22,0.05,0.27,0.89,-1.78,0,0.59,0.04,0.45,0.26,0.53,-0.05,-0.13,-0.24,0.18,1.3,3.81,1.66,-0.11,0.29,0.07,1.77,-0.13,-0.13,0.21,-0.43,0.02,-0.2,-0.07,1.21,1.12,0.87,0.25,1.27,0.12
GW680191X,6.317595216,0.08,0.67,0.28,-0.76,-0.39,4.28,0.06,-1.44,0.2,0.38,-0.26,0.57,3.7,5.59,0.18,,0.1,-0.59,0.28,1.58,0.73,0.56,0.11,-0.05,0.47,-0.04,0.43,0.76,-0.38,0.11,0.04,-0.21,,-0.28,-0.27,0.63,0.31,3.29,0.37,1.38,2.04,1.7,2.27,4.95,4.59,-0.57,0.44,-0.21,0.89,3.78,1.68,0.29,-0.39,0.11,0.48,-0.66,0.05,-0.12,-0.19,0.08,-0.11,-0.15,2.14,0.27,2.75,-0.34,0.22,-0.8
GW680908A,4.730078824,0.21,0.88,0.07,0.42,-0.22,0.79,1.03,-0.16,0.85,2.29,0.45,0.87,0.94,3.78,0.49,-0.92,-0.4,-0.3,1.23,0.3,0.58,1.64,0.1,0.2,4.07,0.12,0.37,0.54,-0.38,-0.01,0.2,-0.22,,-0.28,-0.03,1.04,0.93,-0.06,0.38,0.43,0.16,2.29,2.87,1.91,2.52,-0.09,1.36,0.85,0.93,-0.11,-0.08,1.17,0.29,0.4,1.25,0.1,-0.14,-0.57,0.48,3.98,0.64,0.22,1.39,-0.74,0.15,-0.16,1.09,0.33
GW680975X,0.407365702,-0.32,0.72,-0.06,0.11,0.03,1.3,0.74,-0.38,0.05,-0.26,-1.76,1.43,0.55,0.23,-0.29,-0.06,1.17,0.33,1.18,0.34,1.89,-0.3,-0.03,0.08,0.08,0.18,1.3,1.53,-0.28,-0.32,0.65,0.12,-0.27,-0.08,0.12,0.12,0.66,-0.25,-0.57,-0.1,0.78,0.69,0.1,0.47,0,-0.23,0.19,-0.24,0.66,2.9,2.04,-0.21,0.31,-0.27,2,0.26,-0.24,0.04,-0.67,-0.14,-0.31,0.13,0.58,0.72,0.77,0.16,0.96,0.15
GW682841X,0.606631742,-0.28,1.02,-0.18,0.21,0.29,0.16,1.47,0.19,-0.46,-0.2,-1.88,2.1,0.08,0.84,-0.17,-0.85,1.53,-0.22,1.36,-0.06,0.79,-0.4,-0.05,0.11,-0.56,-0.16,1.49,2.31,-0.37,-0.5,-0.66,0.28,0.06,-0.39,-0.3,0.36,1.27,-0.97,-0.14,0.73,0.12,0.55,0.77,0.51,-0.4,-0.17,-0.28,0.07,1.85,1.83,1.28,0.71,0.38,-0.1,1.31,-0.05,0.06,-0.23,-0.72,0.22,-0.26,0.19,1.19,-0.55,-0.08,-0.1,0.89,-0.03
GW683134A,2.508445387,1.18,8.57,1.53,1.36,0.21,1.16,10.48,1.94,1.75,1.74,-0.81,1.38,7.08,18.87,2.4,1.42,0.12,-0.48,0.9,0.05,5.75,1.14,-0.27,0.11,2.32,1.95,0.68,2.17,0.32,3.35,0.47,0.19,4.3,-0.41,1.19,1.31,11.77,1.03,1.2,1.83,2,5.38,3.77,1.49,2.24,0.43,1.91,1.51,0.37,2.52,1.17,1.17,1.04,0.54,2.06,3.91,-0.12,-0.41,5.46,16.38,4.6,1.31,4.29,1.46,-2.1,1.31,1.83,1.49
GW684626B,5.074518116,-1.09,0.19,0.56,-0.38,-0.03,0.1,0.95,0.3,1.06,3.59,0.06,1.09,0.98,1.64,0.67,0.92,-0.04,-0.71,0.76,-1.76,0.31,2.33,-0.16,0.06,-0.42,0.24,0.35,0.15,0,0.7,0.3,-0.07,,-0.14,0.38,-0.12,1.73,-0.69,,,0.06,4.02,4.7,1.02,3.02,0.38,4.03,-2.48,-0.07,0.88,-0.05,0.46,0.4,0.28,0.17,-0.25,-0.32,-0.1,,1.8,0.77,0.78,0.87,,0.36,-0.22,1.12,0.3
GW693481X,1.219588555,0.27,0.13,-0.09,-0.11,-0.04,0.61,-0.32,-0.33,0.07,-0.04,-1.83,-1.77,-0.8,-0.1,-0.02,-0.54,0.2,1.01,-1.19,0.8,0.07,0.15,0.2,-0.11,0.84,-0.18,0.37,0.09,0.26,-0.14,-0.3,-0.55,0.25,-0.24,-0.33,0.02,0.88,2.46,0.72,1.26,1.21,3.93,0.59,1.01,1,-0.12,0.03,-0.04,2.34,0.44,1.32,0.38,0.01,0.66,0.04,-0.59,0.25,0.03,0.39,-2.9,-1.17,0.21,4.72,1.8,2.14,-0.19,-0.73,-0.45
GW693917X,3.447163313,0.87,3.62,3.35,-0.04,-0.07,0.67,-0.07,0.23,1.71,1.96,0.16,1.96,4.2,15.62,0.88,0.03,0.54,0.25,-0.35,0.67,0.18,2.1,0.19,-0.18,0.05,0.18,0.38,0.41,-0.05,1.55,2.46,0.03,0.29,-1.08,-0.47,0.49,4.42,1.33,2.13,1.4,-0.34,4.49,3.99,1.96,2.49,-0.03,1.98,0.13,1.03,0.68,0.38,1.24,0.72,3.42,0.77,0.27,0.47,0.22,2.29,12.34,4.08,1.18,2.25,0.26,0.15,-0.95,1.32,0.3
GW694234A,5.815062595,1.34,3.72,1.49,2.81,0.03,0.37,8.45,1.71,1.08,3.63,-1.73,1.66,2.72,4.19,1.3,1.43,-0.28,-0.22,1.07,-0.07,3.79,1.57,0.11,0.2,4.08,0.29,0.51,1.5,-0.34,1.31,-0.04,-0.25,1.17,1.21,1.09,1.22,4.7,-1.52,0.49,1.97,1.6,3.58,4.38,2.7,3.27,0.66,1.97,1.46,0.94,0.53,0.57,1.48,1.65,1.19,2.07,1.33,0.21,-0.26,1.88,5.88,1.71,0.66,2.61,4.28,1.23,0.63,2.03,0.89
GW694590A,1.061800358,0.66,1.88,0.38,0.66,-0.57,,3.61,1.19,1.93,2.5,-0.15,0.29,,8.5,0.99,1.09,-0.43,-0.14,0.97,-0.06,2.31,1.06,0.14,-0.56,-0.8,-0.3,0.13,0.53,-0.4,-0.12,1.49,-0.9,0.22,0.77,0.61,0.62,1.43,0.76,0.65,1.76,-0.12,1.69,2.72,1.66,2,0.65,1.93,1.12,0.97,0.26,-0.09,1.13,0.19,0.32,2.03,0.14,-0.44,-0.1,1.81,2.44,0.35,-0.21,2.63,2.2,0.51,0.47,,0.41
GW695874X,-0.365129058,0.23,1.56,-0.02,-0.39,-0.18,0.58,2.76,-0.9,0.16,0.02,-1.79,3.18,-0.53,-0.31,-0.11,-0.75,1.24,-0.11,2.78,-0.14,1.08,0.1,0.11,-0.28,0.79,-0.27,1.48,3.14,-0.56,-0.78,-1.38,-0.34,-0.19,-0.05,0.04,-0.04,0.96,-1.07,0.14,0.66,-0.01,1.26,0.55,0.94,0.18,-0.36,-0.21,0.9,1.02,5.02,2.22,0.07,-0.32,0.08,1.95,-0.59,0.02,-0.19,-0.25,0.26,-0.08,-0.34,0.89,1.02,0.47,-0.59,1.48,-0.46
GW700494A,7.382261376,0.91,3.28,0.67,1.35,-0.28,0.3,4.63,1.17,2.46,2.32,0.73,0.38,1.95,12.06,0.35,-0.68,-0.18,0.09,0.82,0.56,2.19,1.03,0.53,-0.12,3.97,0.23,0.78,0.06,-0.21,-0.91,1.47,-0.6,2.38,0.11,-0.36,0.44,9.23,0.29,0.33,1.02,-1.34,1.53,1.95,2.55,1.54,0.35,1.36,1.07,0.8,0.44,0.25,1.21,0.82,2.28,2.22,0.46,-0.18,0.63,2.43,4.09,0.55,0.66,5.14,1.43,1.79,0.09,3.35,0.39
GW708336X,0.25236802,0.27,0.09,-0.06,-0.76,-0.2,4.65,0.76,1.84,0.14,0.99,-0.3,0.41,-0.26,0.57,0.45,0.63,1.29,0.44,1.01,2.03,3.78,2.07,0.26,0,2.8,0.6,3.48,3.82,-0.26,1.5,-0.48,-0.07,,0.75,2.73,1.92,3.24,2.03,1.74,3.52,5.11,6.6,1.81,3.16,1.5,0.57,0.59,2.29,7.78,4.33,6.51,2.97,4.38,2.05,5.85,3.82,1.42,0.63,1.74,0.28,0.22,0.94,5.87,1.16,6.44,-0.36,4.33,-0.45
GW708893X,0.128226425,-2.22,-0.02,-0.39,-0.95,-0.83,-1.64,0.2,-1.13,-0.07,-0.83,-5.16,-2.16,,-2.05,-0.2,-0.22,-0.24,-0.2,-0.64,-1.09,-0.91,-1.27,-0.59,-0.56,0.93,0,-0.7,-0.09,-1.28,-1.12,-1.57,-0.39,-0.41,0.44,-0.43,-1.21,-0.85,-0.77,1.56,0.14,-1.33,-1.24,-1.16,-0.29,-0.45,-1.85,-0.3,-1.27,0.62,-0.95,-0.07,-1.04,-1.36,-0.99,-0.84,-0.93,-1.93,-0.96,,-0.63,-0.12,-0.86,-0.28,-1.48,-0.86,-0.65,1.59,-1.87
GW709042A,2.983708162,0.59,2.9,0.59,0.46,-0.49,-0.16,8.2,1.43,1.12,2.44,0.54,0.6,,5.53,1.25,1.7,-0.3,-0.45,0.87,0.24,2.73,1.89,0.02,-0.38,3.88,0.46,0.66,1.62,0.54,0.22,0.06,-0.79,-1.28,1.24,0.83,0.73,7.34,0.76,0.42,1.03,0.59,3.58,3.63,2.3,2.19,0.16,2.34,1.36,0.29,0.91,0.4,1.52,0.66,0.21,2.54,1.02,-0.73,-0.01,1.08,15.91,5.38,0.14,3.03,4.21,1.85,0.88,2.68,0.66
GW711782X,3.058458993,-0.05,2.3,0.32,0.02,0.24,0.85,2.02,0.06,-0.76,-0.25,-1.5,3.3,-0.36,-0.13,-0.18,-0.2,2,0.35,3.12,0.69,1.61,0.25,-0.03,-0.07,-0.31,-0.16,1.6,3.29,-0.31,-0.47,-0.4,0.04,0.01,0.52,0.2,0.07,0.94,1.14,0.16,0.83,0.75,1.42,0.33,1.07,0.15,-0.12,-0.18,0.81,0.69,4.23,2.97,0.28,0.46,0,2.11,-0.18,-0.03,-0.56,-0.04,0.09,-0.03,-0.19,0.69,1.33,0.48,-0.34,1.48,0.49
GW734508X,1.324239718,-0.2,-0.06,-0.05,-0.23,-0.27,-0.01,-0.05,0.03,-0.62,-0.18,-0.3,0.31,0.74,-0.29,0.06,-0.17,0.15,0.17,-0.17,-0.33,-0.38,0.3,-0.3,-0.05,-0.81,-0.1,0.03,0.02,-0.39,-0.31,-0.21,-0.52,0.11,-0.17,-0.81,0.04,-0.39,0.16,-0.3,-0.07,-0.53,-0.38,1.22,2.21,0.9,-0.24,0.62,-0.41,0.13,0.03,0.09,-0.11,-0.54,0.12,0.13,-0.46,-0.08,0.14,-0.3,-0.26,0.1,-0.03,0.54,-0.07,-0.18,-1.07,0.58,0.47
GW743024X,0.711282905,-0.06,0.2,0.23,0.02,-0.34,0.5,1.57,-0.44,0.52,0.31,0.04,-0.07,0.26,0.71,0.1,,-0.57,-0.01,0.46,0.22,-0.02,0.57,-0.34,-0.09,-1.06,-0.16,-0.39,-0.28,-0.19,0.49,0.99,-0.39,,-2.18,-0.23,0.34,-0.03,0.25,0.48,0.81,-0.66,0.43,1.34,1.28,0.62,-0.32,0.47,0.16,0.47,-0.36,-0.27,-0.15,-0.66,0.48,0.18,-0.18,0.16,-0.32,-0.33,-0.01,0.1,-0.31,-0.14,-0.12,-0.1,-0.71,0.32,-0.58
GW759710A,4.732877603,2.67,3.37,2.07,-1.01,0.98,5.33,-0.04,1.14,2.06,1.27,1.28,1.82,,3.63,2.92,0.43,0.75,0.64,0.62,1.07,6.06,0.6,0.15,-0.56,2.68,0.67,0.77,0.83,-0.23,-0.53,-0.61,-0.16,2.43,0.3,0.72,0.94,4.18,4.74,1.86,3.95,1.5,5.59,2.05,3.77,2.09,0.64,1.22,1.84,6.27,4.46,4.8,3.09,2.27,0.33,5.36,0.85,0.33,0.24,0.17,0.44,0.21,0.19,3.19,1.5,2.92,2.44,2.57,-0.64
GW768505X,4.613276273,5.88,7.01,6.84,-0.57,-0.4,-0.03,0.3,-0.39,0.57,4.2,0.24,5.19,11.57,16.68,1.58,,0.01,-0.53,1.5,0.53,8.66,2.5,0.21,-0.33,-0.49,0.06,1.01,1.38,0.29,0.79,-0.15,1.85,-0.44,0.82,0.67,2.03,7.84,-0.21,3.24,4.49,1.09,4.77,4.93,3.77,3.84,-0.34,5.08,1.24,1.37,3.01,0.93,1.99,4.9,6.77,1.74,7.92,-0.04,-0.06,,19.61,9.9,2.2,4.61,-0.74,-0.15,1.41,2.88,1.14
